,titre,out_year,note,nb_metascore,nb_vote,genre_film,runtime
0,The Dark Knight,2008,9.0,84,2483778,"ction, Crime, Drama            ",152 min
1,WALL·E,2008,8.4,95,1064818,"nimation, Adventure, Family            ",98 min
2,Iron Man,2008,7.9,79,1009337,"ction, Adventure, Sci-Fi            ",126 min
3,Slumdog Millionaire,2008,8.0,84,826550,"rama, Romance            ",120 min
4,Gran Torino,2008,8.1,72,752994,rama            ,116 min
5,The Curious Case of Benjamin Button,2008,7.8,70,625693,"rama, Fantasy, Romance            ",166 min
6,Taken,I) (,7.8,51,587705,"ction, Crime, Thriller            ",90 min
7,The Incredible Hulk,2008,6.6,61,468150,"ction, Adventure, Sci-Fi            ",112 min
8,Hancock,2008,6.4,49,466902,"ction, Drama, Fantasy            ",92 min
9,Twilight,I) (,5.2,56,448968,"rama, Fantasy, Romance            ",122 min
10,Kung Fu Panda,2008,7.6,74,447500,"nimation, Action, Adventure            ",92 min
11,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65,443467,"ction, Adventure            ",122 min
12,The Hurt Locker,2008,7.5,95,440093,"rama, Thriller, War            ",131 min
13,Quantum of Solace,2008,6.6,58,436575,"ction, Adventure, Thriller            ",106 min
14,In Bruges,2008,7.9,67,409155,"omedy, Crime, Drama            ",107 min
15,Tropic Thunder,2008,7.0,71,400419,"ction, Comedy, War            ",107 min
16,Cloverfield,2008,7.0,64,388069,"ction, Horror, Sci-Fi            ",85 min
17,Wanted,2008,6.7,64,378934,"ction, Crime, Thriller            ",110 min
18,Yes Man,2008,6.8,46,352007,"omedy, Romance            ",104 min
19,Pineapple Express,2008,6.9,64,330455,"ction, Comedy, Crime            ",111 min
20,Burn After Reading,2008,7.0,63,324768,"omedy, Crime, Drama            ",96 min
21,The Wrestler,2008,7.9,80,299748,"rama, Sport            ",109 min
22,Jumper,2008,6.1,35,299666,"ction, Adventure, Sci-Fi            ",88 min
23,Seven Pounds,2008,7.6,36,297243,rama            ,123 min
24,Step Brothers,2008,6.9,51,284805,omedy            ,98 min
25,Forgetting Sarah Marshall,2008,7.1,67,277104,"omedy, Drama, Romance            ",111 min
26,Hellboy II: The Golden Army,2008,7.0,78,265449,"ction, Adventure, Fantasy            ",120 min
27,Vicky Cristina Barcelona,2008,7.1,70,251100,"omedy, Drama, Romance            ",96 min
28,Changeling,2008,7.7,63,250060,"iography, Crime, Drama            ",141 min
29,RocknRolla,2008,7.3,53,246428,"ction, Crime, Thriller            ",114 min
30,21,2008,6.8,48,242543,"rime, Drama, History            ",123 min
31,The Reader,2008,7.6,58,239121,"rama, Romance            ",124 min
32,Valkyrie,2008,7.1,56,237759,"rama, History, Thriller            ",121 min
33,Mamma Mia!,2008,6.4,51,233333,"omedy, Musical, Romance            ",108 min
34,Role Models,2008,6.8,61,227436,omedy            ,99 min
35,Rambo,2008,7.0,46,226697,"ction, Adventure, Thriller            ",92 min
36,Body of Lies,2008,7.1,57,224193,"ction, Drama, Thriller            ",128 min
37,Ip Man,2008,8.0,59,219524,"ction, Biography, Drama            ",106 min
38,Madagascar 2,2008,6.6,61,218712,"nimation, Adventure, Comedy            ",89 min
39,Get Smart,2008,6.5,54,213141,"ction, Adventure, Comedy            ",110 min
40,Låt den rätte komma in,2008,7.9,82,212735,"ction, Crime, Drama            ",114 min
41,Revolutionary Road,2008,7.3,69,208117,"rama, Romance            ",119 min
42,The Boy in the Striped Pyjamas,2008,7.8,55,207854,"rama, History, War            ",94 min
43,Death Race,2008,6.3,43,205383,"ction, Sci-Fi, Thriller            ",105 min
44,The Chronicles of Narnia: Prince Caspian,2008,6.5,62,204877,"ction, Adventure, Family            ",150 min
45,The Happening,2008,5.0,34,203544,"dventure, Drama, Horror            ",91 min
46,The Dark Knight,2008,9.0,84,2483778,"ction, Crime, Drama            ",152 min
47,WALL·E,2008,8.4,95,1064818,"nimation, Adventure, Family            ",98 min
48,Iron Man,2008,7.9,79,1009337,"ction, Adventure, Sci-Fi            ",126 min
49,Slumdog Millionaire,2008,8.0,84,826550,"rama, Romance            ",120 min
50,Gran Torino,2008,8.1,72,752994,rama            ,116 min
51,The Curious Case of Benjamin Button,2008,7.8,70,625693,"rama, Fantasy, Romance            ",166 min
52,Taken,I) (,7.8,51,587705,"ction, Crime, Thriller            ",90 min
53,The Incredible Hulk,2008,6.6,61,468150,"ction, Adventure, Sci-Fi            ",112 min
54,Hancock,2008,6.4,49,466902,"ction, Drama, Fantasy            ",92 min
55,Twilight,I) (,5.2,56,448968,"rama, Fantasy, Romance            ",122 min
56,Kung Fu Panda,2008,7.6,74,447500,"nimation, Action, Adventure            ",92 min
57,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65,443467,"ction, Adventure            ",122 min
58,The Hurt Locker,2008,7.5,95,440093,"rama, Thriller, War            ",131 min
59,Quantum of Solace,2008,6.6,58,436575,"ction, Adventure, Thriller            ",106 min
60,In Bruges,2008,7.9,67,409155,"omedy, Crime, Drama            ",107 min
61,Tropic Thunder,2008,7.0,71,400419,"ction, Comedy, War            ",107 min
62,Cloverfield,2008,7.0,64,388069,"ction, Horror, Sci-Fi            ",85 min
63,Wanted,2008,6.7,64,378934,"ction, Crime, Thriller            ",110 min
64,Yes Man,2008,6.8,46,352007,"omedy, Romance            ",104 min
65,Pineapple Express,2008,6.9,64,330455,"ction, Comedy, Crime            ",111 min
66,Burn After Reading,2008,7.0,63,324768,"omedy, Crime, Drama            ",96 min
67,The Wrestler,2008,7.9,80,299748,"rama, Sport            ",109 min
68,Jumper,2008,6.1,35,299666,"ction, Adventure, Sci-Fi            ",88 min
69,Seven Pounds,2008,7.6,36,297243,rama            ,123 min
70,Step Brothers,2008,6.9,51,284805,omedy            ,98 min
71,Forgetting Sarah Marshall,2008,7.1,67,277104,"omedy, Drama, Romance            ",111 min
72,Hellboy II: The Golden Army,2008,7.0,78,265449,"ction, Adventure, Fantasy            ",120 min
73,Vicky Cristina Barcelona,2008,7.1,70,251100,"omedy, Drama, Romance            ",96 min
74,Changeling,2008,7.7,63,250060,"iography, Crime, Drama            ",141 min
75,RocknRolla,2008,7.3,53,246428,"ction, Crime, Thriller            ",114 min
76,21,2008,6.8,48,242543,"rime, Drama, History            ",123 min
77,The Reader,2008,7.6,58,239121,"rama, Romance            ",124 min
78,Valkyrie,2008,7.1,56,237759,"rama, History, Thriller            ",121 min
79,Mamma Mia!,2008,6.4,51,233333,"omedy, Musical, Romance            ",108 min
80,Role Models,2008,6.8,61,227436,omedy            ,99 min
81,Rambo,2008,7.0,46,226697,"ction, Adventure, Thriller            ",92 min
82,Body of Lies,2008,7.1,57,224193,"ction, Drama, Thriller            ",128 min
83,Ip Man,2008,8.0,59,219524,"ction, Biography, Drama            ",106 min
84,Madagascar 2,2008,6.6,61,218712,"nimation, Adventure, Comedy            ",89 min
85,Get Smart,2008,6.5,54,213141,"ction, Adventure, Comedy            ",110 min
86,Låt den rätte komma in,2008,7.9,82,212735,"ction, Crime, Drama            ",114 min
87,Revolutionary Road,2008,7.3,69,208117,"rama, Romance            ",119 min
88,The Boy in the Striped Pyjamas,2008,7.8,55,207854,"rama, History, War            ",94 min
89,Death Race,2008,6.3,43,205383,"ction, Sci-Fi, Thriller            ",105 min
90,The Chronicles of Narnia: Prince Caspian,2008,6.5,62,204877,"ction, Adventure, Family            ",150 min
91,The Happening,2008,5.0,34,203544,"dventure, Drama, Horror            ",91 min
